title,year,genre,director,writer,actors,wiki_url
Liam,2000,Drama,Stephen Frears,Jimmy McGovern,"Ian Hart, Claire Hackett, Anthony Borrows, David Hart, Megan Burns, Anne Reid, Russell Dixon, Julia Deakin, Andrew Schofield, Bernadette Shortt, David Carey, David Knopov, Jane Gurnett, Gema Loveday, Martin Hancock","Liam_(film), "
Minnaram,1994,"Comedy, Drama, Musical",Priyadarshan,"Cheriyan Kalpakavadi, Priyadarshan","Mohanlal, Shobana, Thilakan, Lalu Alex, Anju, Augustine, Bhagyalakshmi, Neha Dhupia, Bobby Kottarakkara, Ravi Menon, Venu Nagavalli, Kuthiravattam Pappu, Maniyanpilla Raju, Sankaradi, Jagathi Sreekumar","Minnaram, "
Muskurahat,1992,"Comedy, Drama",Priyadarshan,Priyadarshan,"Jay Mehta, Revathi, Annu Kapoor, Jagdeep, Amrish Puri, Anil Dhawan, Mahesh Anand, Arif Khan, Anju Mahendru, Asha Sharma, Uma Kamesh, Nilima Deshpande, Saba, Darshan Bagga, Kim","Muskurahat_(1992_film), "
Nirnayam,1991,"Action, Comedy, Drama","Priyadarshan, R.R. Shinde","Ganesh Patro, Priyadarshan","Nagarjuna Akkineni, Amala Akkineni, Murali Mohan, Subhalekha Sudhakar, Raajivi, Sharat Saxena, Annapoorna, Giri Babu, Allu Ramalingaiah, Sukumari","Nirnayam_(1995_film), Nirnayam_(1991_film), "
Pinocchio,2002,"Comedy, Family, Fantasy",Roberto Benigni,"Roberto Benigni, Roberto Benigni","Roberto Benigni, Nicoletta Braschi, Mino Bellei, Carlo Giuffrè, Peppe Barra, Franco Javarone, Max Cavallari, Bruno Arena, Corrado Pani, Kim Rossi Stuart, Luis Molteni, Alessandro Bergonzoni, Alfredo Cavazzoni, Vincenzo Bonanno, Marco Tullio Cau","Pinocchio_(1940_film), Pinocchio_(2002_film), "
Tortilla Soup,2001,"Comedy, Romance, Drama",Maria Ripoll,"Hui-Ling Wang, Ang Lee","Jacqueline Obradors, Tamara Mello, Judy Herrera, Nikolai Kinski, Elizabeth Peña, Constance Marie, Troy Ruptash, Ken Marino, Hector Elizondo, Marisabel García, Julio Oscar Mechoso, Louis Crugnali, Raquel Welch, Joel Joan, Paul Rodriguez","Tortilla_Soup, "
Baba,2000,"Comedy, Drama",Shuo Wang,"Xiaogang Feng, Shuo Wang","Xiaogang Feng, Xiaopei Hu, Fan Xu, Yan Qin, Weining Wang, Qing Ye, Yuan Yuan, Huanyuan Chen, Nan Sima","Baba_(2002_film), "
Chori Chori Chupke Chupke,2001,"Drama, Musical, Romance","Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","Shyam Goel, Javed Siddiqui","Preity Zinta, Salman Khan, Rani Mukerji, Amrish Puri, Dalip Tahil, Farida Jalal, Prem Chopra, Johnny Lever, Ruby Bhatia, Deepti Bhatnagar, Adi Irani, Apara Mehta, Raja Mukherjee, Sheela Sharma","Chori_Chori_Chupke_Chupke, "
Devadasu,1953,"Drama, Family, Musical",Vedantam Raghavaiah,"Saratchandra Chatterjee, Samudrala Raghavacharya","Akkineni Nageshwara Rao, Savitri, S.V. Ranga Rao, Seeta Rama Anjaneyulu Chilakalapudi, Lalita, Doraiswamy, Satyanarayana Aarani, Sivaram Peketi, Nageswara Rao R., Chandrakumari, Bellary Lalitha, Sitaram, Narasimha Rao Kanchi, Sudhakar","Devadasu_(1953_film), "
Killers,1996,"Horror, Mystery, Thriller",Mike Mendez,"Dave Larsen, Mike Mendez","Dave Larsen, David Gunn, Damian Hoffer, Nanette Bianchi, Renee Cohen, Wendy Latta, Ivan Vertigo, Chad Sommers, Ellis Moore, Carol Baker, Timothy Patrick Quill, Susan Laprelle, Burke Morgan","Killers_(2010_film), Killers_(2014_film), "
Last Wedding,2001,"Comedy, Drama, Music",Bruce Sweeney,Bruce Sweeney,"Benjamin Ratner, Frida Betrani, Tom Scholte, Nancy Sivak, Vincent Gale, Molly Parker, Marya Delver, Babs Chula, Kathleen Duborg, Jay Brazeau, Kevin McNulty, Sam Feldman, Jillian Fargey, Simone Bailly, Wendy Noel","Last_Wedding, "
Nadiya Ke Paar,1982,"Drama, Romance",Govind Moonis,,"Sachin Pilgaonkar, Sadhana Singh, Inder Thakur, Mitali, Savita Bajaj, Leela Mishra, Soni Rathod, Sheela Sharma","Nadiya_Ke_Paar_(1982_film), "
Scary Movie 2,2001,"Comedy, Horror",Keenen Ivory Wayans,"Shawn Wayans, Marlon Wayans","Antony Acker, Mark Barrett, Richard Bellos, Suzanne Bianqui, Natale Bosco, Joann Connor, Bradley Fisher, Suzanne O'Donnell, Kristi Pearce, Donna Silverberg, Helene Strayer, Veronica Cartwright, Andy Richter, Lee R. Mayes, Natasha Lyonne","Scary_Movie_2, "
Aa Okkati Adakku,1993,Comedy,E.V.V. Satyanarayana,E.V.V. Satyanarayana,"Rajendra Prasad, Rambha, Raogopalrao, Brahmanandam, Nirmalamma, Allu Ramalingaiah, Babu Mohan, Radhabai, Srilatha, Sakshi Ranga Rao, Chidathala Appa Rao, Prudhviraj","Aa_Okkati_Adakku, "
Allari Mogudu,1992,"Drama, Comedy",K. Raghavendra Rao,,"Mohan Babu, Meena, Ramya Krishnan, Satyanarayana Kaikala, Brahmanandam, Nagesh, J.V. Somayajulu","Allari_Mogudu, "
Good Neighbor,2001,Thriller,Todd Turner,"T.S. O'Kelly, Mary Grace Higgs","Billy Dee Williams, Danica McKellar, Tobin Bell, Christine Horn, James Stephen Jones, Moe El Emam, Brian Bremer, Polly Craig, Amber Brooke, Brandon O'Dell, Ron Clinton Smith, Kelly Finley, Lucinda Carmichael, Bill Greeley, Jeffrey Umberger","Good_Neighbor, "
Janaki Ramudu,1988,"Drama, Romance",K. Raghavendra Rao,"Vijayendra Prasad, K. Raghavendra Rao","Nagarjuna Akkineni, Vijayshanti, Mohan Babu, Brahmanandam, Chalapathi Rao, Kongara Jaggaiah, Jeevitha, Satyanarayana Kaikala, Sri Lakshmi, Kalpana Rai, Sakshi Ranga Rao, Suthi Velu","Janaki_Ramudu, Janaki_Ramudu_(2016_film), "
Major Chandrakanth,1993,"Action, Drama, Thriller",K. Raghavendra Rao,,"Taraka Rama Rao Nandamuri, Mohan Babu, Brahmanandam, Manoj Kumar Manchu, Gopalakrishna Paruchuri, Amrish Puri, Sharada","Major_Chandrakanth_(1966_film), Major_Chandrakanth_(1993_film), "
Panic Room,2002,"Crime, Drama, Thriller",David Fincher,David Koepp,"Jodie Foster, Kristen Stewart, Forest Whitaker, Dwight Yoakam, Jared Leto, Patrick Bauchau, Ann Magnuson, Ian Buchanan, Andrew Kevin Walker, Paul Schulze, Mel Rodriguez, Richard Conant, Paul Simon, Victor Thrash, Ken Turner","Panic_Room_(film), "
Pootie Tang,2001,"Action, Adventure, Comedy",Louis C.K.,Louis C.K.,"Lance Crouther, J.B. Smoove, Jennifer Coolidge, Reg E. Cathey, Robert Vaughn, Wanda Sykes, Chris Rock, Mario Joyner, Cathy Trien, Dave Attell, Laura Kightlinger, Christopher Wynkoop, Rick Shapiro, Qiana Drew, Lorria Richards","Pootie_Tang, "
The Quiet American,2002,"Drama, Romance, Thriller",Phillip Noyce,"Graham Greene, Christopher Hampton","Michael Caine, Brendan Fraser, Thi Hai Yen Do, Rade Serbedzija, Tzi Ma, Robert Stanton, Holmes Osborne, Quang Hai, Ferdinand Hoang, Pham Thi Mai Hoa, Mathias Mlekuz, Kevin Tran, Lap Phan, Tim Bennett, Jeff Truman","The_Quiet_American_(1958_film), The_Quiet_American_(2002_film), "
Lovely & Amazing,2001,"Comedy, Drama, Romance",Nicole Holofcener,Nicole Holofcener,"Troy Ruptash, Emily Mortimer, Brenda Blethyn, Raven Goodwin, Catherine Keener, Ileen Getz, Kristen Dalton, Romy Rosemont, Aunjanue Ellis, Brooke Allison, Jennifer Zehnder, James Le Gros, Ashlynn Rose, Clark Gregg, Dreya Weber","Lovely_%26_Amazing, "
The Bourne Identity,2002,"Action, Mystery, Thriller",Doug Liman,"Tony Gilroy, W. Blake Herron","Matt Damon, Franka Potente, Chris Cooper, Clive Owen, Brian Cox, Adewale Akinnuoye-Agbaje, Gabriel Mann, Walton Goggins, Josh Hamilton, Julia Stiles, Orso Maria Guerrini, Tim Dutton, Denis Braccini, Nicky Naudé, David Selburg","The_Bourne_Identity_(2002_film), "
Bubble Boy,2001,"Adventure, Comedy, Romance",Blair Hayes,"Cinco Paul, Ken Daurio","Jake Gyllenhaal, Swoosie Kurtz, Marley Shelton, Danny Trejo, John Carroll Lynch, Verne Troyer, Dave Sheridan, Brian George, Patrick Cranshaw, Stephen Spinella, Ever Carradine, Geoffrey Arend, Beetlejuice, Matthew McGrory, Bonnie Morgan","Bubble_Boy_(film), "
Khushi,2001,"Drama, Romance",S.J. Suryah,"Rajendra Kumar, S.J. Suryah","Bhoomika Chawla, Sudhakar, Vijayakumar, Nassar, Ali, Rajan P. Dev, Pawan Kalyan, Sivaji, Mumtaj, Janaki Sabesh, Sudha","Khushi_(2003_Hindi_film), Kushi_(Telugu_film), "
One Week,2000,"Drama, Romance",Carl Seaton,"Carl Seaton, Kenny Young","Kenny Young, Saadiqa Muhammad, Eric Lane, Milauna Jackson, Pam Mack, Gwen Carter, Cynthia Maddox, Charles Moore, Malik Middleton, J.J. McCormick, James T. Alfred, Francois Battiste, Rhonda Bedgood, Sharyn Grose, Don Adams","One_Week_(1920_film), One_Week_(2008_film), "
Pookkalam Varavayi,1991,"Comedy, Drama, Family",Kamal,"Renjith, P.R. Nathan","Jayaram, Shamili, Murali, Geetha, Innocent, Jagathi Sreekumar, Rekha, Sunita, Thikkurisi Sukumaran Nair, Kaviyoor Ponnamma, Philomina, Sankaradi, Kalpana, Meena, Kuthiravattam Pappu","Pookkalam_Varavayi, "
Swimming Upstream,2002,Drama,Robert J. Emery,"Don Robertson, Robert J. Emery","Matt Czuchry, Elisabeth Harnois, Michael Moriarty, Kelly Rutherford, Ben Savage, Barbara Orson, Ron Dean, Edwin W. Thurston, Justin Ordman, Nigel Gore, Jeffrey DeMunn, Patricia Fellows, Eric Ruben, Marian Varon, Caleb Neves","Swimming_Upstream, "
Abdullah,1980,"Action, Drama, Romance",Sanjay Khan,"Kader Khan, George Marzbetuny","Raj Kapoor, Sanjay Khan, Sanjeev Kumar, Zeenat Aman, Parveen Babi, Mehmood, Danny Denzongpa, Rajeev Bhatia, Bob Christo, Nasir Hussain, Jezebel, Kader Khan, Simone Khan, Dheeraj Kumar, Sujit Kumar","Abdullah_(film), "
Daana Veera Soora Karna,1977,"Action, Drama, Fantasy",Taraka Rama Rao Nandamuri,"Taraka Rama Rao Nandamuri, Taraka Rama Rao Nandamuri","Taraka Rama Rao Nandamuri, Dhulipala, Mikkilineni, Harikrishna Nandamuri, Prabhakar Reddy, Satyanarayana Kaikala, Varalakshmi S., Saroja Devi B., Prabha, Sharada, Kanchana, Nandamuri Balakrishna, Unni Mary, Jaya Bhaskar, Chalapathi Rao","Daana_Veera_Soora_Karna, "
Gehrayee,1980,"Drama, Horror","Vikas Desai, Aruna Raje","Haafiz, Vijay Tendulkar","Shreeram Lagoo, Anant Nag, Indrani Mukherjee, Padmini Kolhapure, Rita Bhaduri, Amrish Puri, Sudhir Dalvi, Suhas Bhalekar, Shubha Joshi, Satyendran, Satyakumar Patil, Somu, Rao, M.B. Shetty, Indiramma","Gehrayee, "
Ghost Rider,2007,"Action, Fantasy, Thriller",Mark Steven Johnson,"Mark Steven Johnson, Mark Steven Johnson","Matt Long, Raquel Alessi, Brett Cullen, Peter Fonda, Nicolas Cage, Donal Logue, Tony Ghosthawk, Hugh Sexton, Marcus Jones, Matt Norman, Lawrence Cameron Steele, Wes Bentley, Eddie Baroo, Jessica Napier, Laurence Breuls","Ghost_Rider_(2007_film), "
Lantana,2001,"Drama, Mystery, Romance",Ray Lawrence,"Andrew Bovell, Andrew Bovell","Anthony LaPaglia, Rachael Blake, Kerry Armstrong, Manu Bennett, Melissa Martinez, Owen McKenna, Nicholas Cooper, Marc Dwyer, Puven Pather, Lionel Tozer, Glenn Suter, Leah Purcell, Barbara Hershey, Natasha Guthrie, James Cullington","Lantana_(film), "
Malliswari,1951,"Drama, History, Musical",B.N. Reddi,Devulapalli Venkata Krishna Sastri,"Doraiswamy, Subba Rao K.V., Surabhi Kamalabai, Miss Kumari, Mallika, Taraka Rama Rao Nandamuri, Raghava Rao Nyayapaati, Ganga Ratnam P., Bhanumathi Ramakrishna, Venkata Ramana, Rushyendramani, Sreevatsava, Kamala Devi T.G., Vangara","Malliswari_(2004_film), "
Pattanathil Bhootham,1967,"Action, Comedy, Fantasy",M.V. Raman,,"Jaishankar, Nagesh, V.K. Ramasamy, Javar Seetharaman, K.R. Vijaya","Pattanathil_Bhootham, "
Peddarikam,1992,"Comedy, Drama, Action",A.M. Rathnam,,"Jagapathi Babu, Sukanya, Bhanumathi Ramakrishna, Sudhakar, Chandramohan, Allu Ramalingaiah, Vijayakumar, Rami Reddy, Narra Venkateswara Rao, Chalapathi Rao, Aalam, N.N. Pillai","Peddarikam, "
Ramayana: The Legend of Prince Rama,1992,"Animation, Action, Adventure","Ram Mohan, Yûgô Sakô","Krishna Shah, Valmiki","Bryan Cranston, Arun Govil, Edie Mirman, Rael Padamsee, Namrata Sawhney, James Earl Jones, Shatrughan Sinha, Jinder Walia, Amrish Puri, Mishal Varma, Tom Wyner, Richard Cansino, Shakti Singh, Dilip Sinha, Michael Sorich","Ramayana:_The_Legend_of_Prince_Rama, "
Saroja,2000,"Drama, Family",Somaratne Dissanayake,Somaratne Dissanayake,"Joe Abeywickrama, Susantha Chandramali, Nita Fernando, Nithyavani Kandasami, Pramudi Karunarathne, Janaka Kumbukage, Asoka Peiris, Mahendra Perera, Tony Ranasinghe, Ravindra Randeniya","Saroja_(2008_film), "
Vanilla Sky,2001,"Fantasy, Mystery, Romance",Cameron Crowe,"Alejandro Amenábar, Mateo Gil","Tom Cruise, Penélope Cruz, Cameron Diaz, Kurt Russell, Jason Lee, Noah Taylor, Timothy Spall, Tilda Swinton, Michael Shannon, Delaina Mitchell, Shalom Harlow, Oona Hart, Ivana Milicevic, Johnny Galecki, Jhaemi Willens","Vanilla_Sky, "
Bandh Darwaza,1990,"Action, Drama, Horror","Shyam Ramsay, Tulsi Ramsay","Dev Kishan, Dev Kishan","Hashmat Khan, Manjeet Kular, Kunickaa Sadanand, Satish Kaul, Anita Sareen, Anirudh Agarwal, Aruna Irani, Raza Murad, Vijayendra Ghatge, Karunakar Pathak, Surinder Kohli, Jack Gaud, Shyamalee, Beena Banerjee, Johnny Lever","Bandh_Darwaza, "
Ek Hi Bhool,1981,"Drama, Family, Romance",Rama Rao Tatineni,"Bhagyaraj, Bhagyaraj","Jeetendra, Rekha, Nazneen, Shabana Azmi, Asrani, Mazhar Khan, Agha, Jagdish Raj, Yunus Parvez, Raja Duggal, Dinesh Hingoo, Leela Mishra, Surya Kala, Barindar, Jaya Sheela","Ek_Hi_Bhool, "
Gojoe,2000,"Action, History",Gakuryû Ishii,"Gakuryû Ishii, Goro Nakajima","Tadanobu Asano, Masatoshi Nagase, Daisuke Ryû, Masakatsu Funaki, Jun Kunimura, Urara Awata, Wui-Sin Chong, Shunsuke Gondo, Takahito Hosoyamada, Hiroshi Inoue, Toshihiro Isomi, Ryô Kase, Ittoku Kishibe, Dave Mallow, Naruki Matsukawa","Gojoe, "
Haathkadi,1995,"Action, Comedy, Drama",Rama Rao Tatineni,,"Govinda, Shilpa Shetty Kundra, Madhoo, Shakti Kapoor, Kiran Kumar, Tej Sapru, Alok Nath, Satyendra Kapoor, Arun Govil, Puneet Issar, Vijayalalitha, Laxmikant Berde, Jayalalitha","Haathkadi_(1982_film), "
Mahakaal,1994,"Comedy, Horror","Shyam Ramsay, Tulsi Ramsay","Kafil Azar, Sayed Sultan","Karan Shah, Archana Puran Singh, Johnny Lever, Mayur Verma, Reema Lagoo, Kulbhushan Kharbanda, Baby Swetha, Minaaz, Sunil Dhawan, Asha Patel, Dinesh Kaushik, Mahabir Bhullar, Kunickaa Sadanand, Naushaad Abbas","Mahakaal_(2008_film), Mahakaal, "
Naseeb Apna Apna,1986,"Comedy, Drama",Rama Rao Tatineni,,"Rakesh Bedi, Seema Deo, Rishi Kapoor, Satyendra Kapoor, Gulshan Kumar, Farha Naaz, Amrish Puri, Radhika Sarathkumar","Naseeb_Apna_Apna_(1986_film), "
Purani Haveli,1989,Horror,"Shyam Ramsay, Tulsi Ramsay","J.K. Ahuja, Kafil Azar","Deepak Parashar, Amita Nangia, Shubha, Tej Sapru, Sikander Khan, Priti Sapru Walia, Anil Dhawan, Shehzad Khan, Narendra Nath, Neelam Mehra, Vijay Arora, Pinchoo Kapoor, Bhushan Tiwari, Leela Mishra, Shyamalee","Purani_Haveli_(film), "
Tahkhana,1986,"Action, Drama, Horror","Shyam Ramsay, Tulsi Ramsay","J.K. Ahuja, Kafil Azar","Rana Jung Bahadur, Hemant Birje, Deepak, Sunil Dhawan, Arti Gupta, Puneet Issar, Trilok Kapoor, Huma Khan, Imtiaz Khan, Raj Kishore, Amarnath Mukherjee, Narendra Nath, Rajendra Nath, Tanuja Ramsay, Kamran Rizvi","Tahkhana, "
Veerana,1988,"Action, Drama, Horror","Shyam Ramsay, Tulsi Ramsay","J.K. Ahuja, Shyam Ramsay","Jasmin, Hemant Birje, Sahila Chaddha, Kulbhushan Kharbanda, Satish Shah, Rajesh Vivek, Roy Kamal, Vijayendra Ghatge, Gulshan Grover, Narendra Nath, Vijay Arora, Rajendra Nath, Rama Vij, Tina Ghai, Baby Swati","Veerana, "
Big Bad Love,2001,"Comedy, Drama, Romance",Arliss Howard,"Larry Brown, James Howard","Arliss Howard, Debra Winger, Paul Le Mat, Rosanna Arquette, Angie Dickinson, Michael Parks, Alex Van, Zachary Moody, Olivia Kersey, Kevin Mitchell, Matt Mitchell, Sue Peavey, Michael Williamson, Coleman Barks, Gloria Jackson Winters","Big_Bad_Love, "
Don't Say a Word,2001,"Drama, Mystery, Thriller",Gary Fleder,"Andrew Klavan, Anthony Peckham","Michael Douglas, Sean Bean, Brittany Murphy, Skye McCole Bartusiak, Famke Janssen, Jennifer Esposito, Shawn Doyle, Victor Argo, Conrad Goode, Paul Schulze, Lance Reddick, Guy Torry, Oliver Platt, Aidan Devine, Alex Campbell","Don%27t_Say_a_Word, Don%27t_Say_a_Word, "
Astitva,2000,Drama,Mahesh Manjrekar,"Imtiaz Hussain, Mahesh Manjrekar","Tabu, Sachin Khedekar, Mohnish Bahl, Smita Jaykar, Ravindra Mankani, Sunil Barve, Resham Tipnis, Sandeep Mehta, Kishore Nandlaskar, Sandeep Padiyar, Santosh Manjrekhar, Namrata Shirodkar, Niki Walia","Astitva, "
Dirt,2001,"Comedy, Crime","Michael Covert, Tracy Fraim",Michael Covert,"Tracy Fraim, Michael Covert, Jack Kehler, Tara Chocol, Shirley A. Williams, Bethany 'Rose' Hill, Patrick Warburton, Jennifer Tilly, Angel, Sandra Horse, Fiona Curtis, Michael Horse, Kyle B. Peek, Daniel Beer, Rick Hamilton","Dirt_(1994_film), "
Jackpot,2001,"Drama, Comedy",Michael Polish,"Mark Polish, Michael Polish","Jon Gries, Daryl Hannah, Garrett Morris, Patrick Bauchau, Adam Baldwin, Rosie O'Grady, Larry W. Hunter, Peggy Lipton, Suzanne Krull, Dig Wayne, Mac Davis, Larry Pennell, Toni Oswald, Crystal Bernard, Tia Matza","Jackpot_(2013_film), "
Mullet,2001,"Comedy, Drama",David Caesar,David Caesar,"Ben Mendelsohn, Susie Porter, Andrew S. Gilbert, Belinda McClory, Tony Barry, Kris McQuade, Peta Brady, Wayne Blair, Paul Kelman, Steve Le Marquand, Aaron Blabey, Jim Webb, Allan Robinson, Nash Edgerton, Bryan Brown","Mullet_(film), "
Session 9,2001,"Horror, Mystery",Brad Anderson,"Brad Anderson, Stephen Gevedon","David Caruso, Stephen Gevedon, Paul Guilfoyle, Josh Lucas, Peter Mullan, Brendan Sexton III, Charley Broderick, Lonnie Farmer, Larry Fessenden, Jurian Hughes, Sheila Stasack","Session_9, "
Thenali,2000,"Comedy, Drama",K.S. Ravikumar,"Crazy Mohan, Ramakrishna","Kamal Haasan, Jayaram, Jyotika, Devayani, Delhi Ganesh, Ramesh Khanna, C.R. Vijayakumari, Madhan Bob, Meena, Crane Manohar, Charlie, Bayilvan Ranganathan, K.S. Ravikumar","Thenali, "
19,2000,"Comedy, Drama",Kazushi Watanabe,Kazushi Watanabe,"Daijiro Kawaoka, Kazushi Watanabe, Takeo Noro, Ryo Shinmyo, Masashi Endô, Nachi Nozawa","Godavari_(film), Maayajaalam, "
Bhookailas,1958,"Drama, Musical",K. Shankar,Samudrala Raghavacharya,"Taraka Rama Rao Nandamuri, Akkineni Nageshwara Rao, Jamuna, S.V. Ranga Rao, Nagabhushanam, Saroja Devi B., Hemalatha, Saroja E.V., Helen, Gopi Krishna, Kamla Laxman, Venkayya Mahankali, Vijaya Nirmala","Bhookailas_(1958_Telugu_film), "
Gamer,2001,"Comedy, Sci-Fi",Patrick Levy,"Daive Cohen, Patrick Levy","Saïd Taghmaoui, Camille De Pazzis, Alexis Loret, Bruno Salomone, Maud Buquet, Gérard Vivès, Frédéric Saurel, Jean-Pierre Kalfon, Arielle Dombasle, Julien Courbey, Catherine Benguigui, Frédéric Lancian, Yvan Varco, Sébastien Fontaine, Valérie Steffen","Gamer_(film), "
Gaayam,1993,"Action, Drama",Ram Gopal Varma,"Tanikella Bharani, Krishna Murali Posani","Jagapathi Babu, Revathi, Srinivasa Rao Kota, Sivakrishna, Urmila Matondkar, Balaiah M., Tanikella Bharani, Rami Reddy, Charan Raj, Banerjee, Sirivennela Seetharama Sastry, Uttej, Narsing Yadav, Gummadi, Annapoorna","Gaayam, "
Gopichand Jasoos,1982,"Comedy, Thriller",Naresh Kumar,"Kapil Dev, Naresh Kumar","Raj Kapoor, Zeenat Aman, I.S. Johar, Viju Khote, Sujit Kumar, Rajan Haksar, Pinchoo Kapoor, Gurbachan Singh, Manmohan Krishna, Sunder, Raj Kishore, Jugnu, Brahm Bhardwaj, Ratan Gaurang, Ram Murthy","Gopichand_Jasoos, "
Gundamma Katha,1962,"Comedy, Drama",Kamalakara Kameshwara Rao,"Aluri Chakrapani, Narasa Raju D.V.","Suryakantham, Taraka Rama Rao Nandamuri, Akkineni Nageshwara Rao, Savitri, Jamuna, S.V. Ranga Rao, Haranath, Ramana Reddy, L. Vijayalakshmi, Rajanala, Rushyendramani, Chhayadevi, Hemalatha, Mikkilineni, Allu Ramalingaiah","Gundamma_Katha, "
Bangkok Dangerous,2000,"Action, Crime, Drama","Danny Pang, Oxide Chun Pang","Danny Pang, Oxide Chun Pang","Pawarith Monkolpisit, Premsinee Ratanasopha, Patharawarin Timkul, Pisek Intrakanchit, Korkiate Limpapat, Piya Boonnak","Bangkok_Dangerous_(2008_film), "
Jis Desh Mein Ganga Rehta Hain,2000,"Comedy, Crime, Drama",Mahesh Manjrekar,Mahesh Manjrekar,"Govinda, Sonali Bendre, Rinke Khanna, Milind Gunaji, Supriya Karnik, Shivaaji Satam, Reema Lagoo, Shakti Kapoor, Himani Shivpuri, Ankush Chaudhari, Anand Abhyankar, Kishore Nandlaskar, Nandu Madhav, Ramdas Jadhav, Atul Kale","Jis_Desh_Mein_Ganga_Rehta_Hain, "
Me Without You,2001,Drama,Sandra Goldbacher,"Sandra Goldbacher, Laurence Coriat","Ella Jones, Anna Popplewell, Cameron Powrie, Trudie Styler, Allan Corduner, Deborah Findlay, Nicky Henson, Anna Friel, Michelle Williams, Oliver Milburn, Hannah Bourne, Russell Mabey, Blake Ritson, Francis Lee, Eve Cooper-Rose","Me_Without_You_(film), "
Men with Brooms,2002,"Comedy, Drama, Romance",Paul Gross,"Paul Gross, Graham Wagner","James B. Douglas, Molly Parker, Paul Gross, Barbara Gordon, Michelle Nolden, Connor Price, Stan Coles, James Allodi, Darryl Casselman, Mike 'Nug' Nahrgang, Jed Rees, Jane Spidell, Polly Shannon, Peter Outerbridge, Kari Matchett","Men_with_Brooms, "
The Scarecrow,2000,"Animation, Family, Fantasy","Brian Nissen, Richard Rich","Nathaniel Hawthorne, Percy MacKaye","Shawn Hoffman, Belinda Montgomery, Ray Porter, Christie Albers, Corey Feldman, David Llewellyn, Paul Masonson, Prince Davidson, Scotty Leavenworth, Chelsea Parnell, Jim J. Bullock, Catherine Lavin, Felicia Sorensen","The_Scarecrow_(1920_film), "
Sultan,1978,"Family, Comedy, Romance",Kartal Tibet,Yavuz Turgul,"Türkan Soray, Bulut Aras, Adile Nasit, Sener Sen, Ihsan Yüce, Erdal Özyagcilar, Güzin Özyagcilar, Ilyas Salman, Filiz Bozkurt, Hikmet Gül, Tuncer Sevi, Ahmet Ariman, Ilhan Hemseri, Selim Nasit, Ekrem Dümer","Sultan_(2008_film), "
Ammoru,1995,"Fantasy, Horror",Kodi Ramakrishna,Satyanand,"Soundarya, Suresh, Rami Reddy, Ramya Krishnan, Sunayana, Vijaya Y., Babu Mohan, Kallu Chidambaram","Ammoru, "
Basic,2003,"Action, Crime, Drama",John McTiernan,James Vanderbilt,"John Travolta, Connie Nielsen, Samuel L. Jackson, Tim Daly, Giovanni Ribisi, Brian Van Holt, Taye Diggs, Dash Mihok, Cristián de la Fuente, Roselyn Sanchez, Harry Connick Jr., Georgia Hausserman, Margaret Travolta, Dena Johnston, Nick Loren","Basic_(film), "
Berserker,2004,"Action, Adventure, Fantasy",Paul Matthews,Paul Matthews,"Paul Johansson, Craig Sheffer, Kari Wuhrer, Patrick Bergin, Nick Boraine, David Dukas, Garth Collins, Dale Cutts, Anthony Bishop, Stephen Coetzee, Byron Taylor, Camilla Waldman, Tertius Meintjes, Colt Smith, Nicole Abel","Berserker_(1987_film), "
Bhairava Dweepam,1994,"Action, Adventure, Comedy",Singeetam Srinivasa Rao,"Raavi Kondala Rao, Singeetam Srinivasa Rao","Nandamuri Balakrishna, Roja, Satyanarayana Kaikala, K.R. Vijaya, Rambha, Sangeetha, Giri Babu, Subhalekha Sudhakar, Vijayakumar, Babu Mohan, Padmanabham, Suthi Velu, Chitti Babu, Radhabai, Brahmanandam","Bhairava_Dweepam, "
Home Room,2002,"Crime, Drama",Paul F. Ryan,Paul F. Ryan,"Busy Philipps, Erika Christensen, Victor Garber, Raphael Sbarge, Ken Jenkins, Holland Taylor, Arthur Taxier, James Pickens Jr., Constance Zimmer, Richard Gilliland, Roxanne Hart, Agnes Bruckner, Nathan West, Theodore Borders, Ben Gould","Home_Room_(film), "
